ScaleR,InstanceNumber,InstanceID,InputPosition,LibraryIndex,RouteID,SourceLayer,FeatureID,StartOffset_m,EndOffset_m,WaypointCount,IsPaperRoadA
10,3,R10_I03,5,9,F010_S000000,Minor,10,0,500,63,0
10,3,R10_I03,6,6,F021_S005000,Minor,21,500,1000,62,0
10,3,R10_I03,7,22,F177_S000000,Minor,177,0,500,62,0
10,3,R10_I03,8,15,F195_S001400,Minor,195,140,640,62,0
10,3,R10_I03,9,10,F300_S005000,Minor,300,500,1000,65,0
10,3,R10_I03,10,19,F301_S005000,Minor,301,500,1000,64,0
10,4,R10_I04,1,4,M001_S001200,Major,1,120,620,62,0
10,4,R10_I04,2,20,M005_S006200,Major,5,620,1120,62,0
10,4,R10_I04,3,17,M008_S005000,Major,8,500,1000,63,0
10,4,R10_I04,4,2,M009_S000000,Major,9,0,500,62,0
10,4,R10_I04,5,6,F021_S005000,Minor,21,500,1000,62,0
10,4,R10_I04,6,7,F073_S005000,Minor,73,500,1000,62,0
10,4,R10_I04,7,12,F132_S000000,Minor,132,0,500,62,0
10,4,R10_I04,8,22,F177_S000000,Minor,177,0,500,62,0
10,4,R10_I04,9,15,F195_S001400,Minor,195,140,640,62,0
10,4,R10_I04,10,5,F301_S010000,Minor,301,1000,1500,64,0
10,5,R10_I05,1,18,M001_S006200,Major,1,620,1120,62,0
10,5,R10_I05,2,13,M002_S000000,Major,2,0,500,63,0
10,5,R10_I05,3,20,M005_S006200,Major,5,620,1120,62,0
10,5,R10_I05,4,2,M009_S000000,Major,9,0,500,62,0
10,5,R10_I05,5,11,F005_S005000,Minor,5,500,1000,63,0
10,5,R10_I05,6,6,F021_S005000,Minor,21,500,1000,62,0
10,5,R10_I05,7,7,F073_S005000,Minor,73,500,1000,62,0
10,5,R10_I05,8,15,F195_S001400,Minor,195,140,640,62,0
10,5,R10_I05,9,10,F300_S005000,Minor,300,500,1000,65,0
10,5,R10_I05,10,5,F301_S010000,Minor,301,1000,1500,64,0
10,6,R10_I06,1,4,M001_S001200,Major,1,120,620,62,0
10,6,R10_I06,2,20,M005_S006200,Major,5,620,1120,62,0
10,6,R10_I06,3,24,M007_S007800,Major,7,780,1280,62,0
10,6,R10_I06,4,14,M009_S005000,Major,9,500,1000,62,0
10,6,R10_I06,5,3,M009_S010000,Major,9,1000,1500,62,0
10,6,R10_I06,6,23,F002_S000000,Minor,2,0,500,62,0
10,6,R10_I06,7,6,F021_S005000,Minor,21,500,1000,62,0
10,6,R10_I06,8,22,F177_S000000,Minor,177,0,500,62,0
10,6,R10_I06,9,15,F195_S001400,Minor,195,140,640,62,0
10,6,R10_I06,10,10,F300_S005000,Minor,300,500,1000,65,0
10,7,R10_I07,1,13,M002_S000000,Major,2,0,500,63,0
10,7,R10_I07,2,16,M005_S011200,Major,5,1120,1620,62,0
10,7,R10_I07,3,17,M008_S005000,Major,8,500,1000,63,0
10,7,R10_I07,4,14,M009_S005000,Major,9,500,1000,62,0
10,7,R10_I07,5,3,M009_S010000,Major,9,1000,1500,62,0
10,7,R10_I07,6,23,F002_S000000,Minor,2,0,500,62,0
10,7,R10_I07,7,25,F003_S000000,Minor,3,0,500,62,0
10,7,R10_I07,8,22,F177_S000000,Minor,177,0,500,62,0
10,7,R10_I07,9,15,F195_S001400,Minor,195,140,640,62,0
10,7,R10_I07,10,5,F301_S010000,Minor,301,1000,1500,64,0
10,8,R10_I08,1,4,M001_S001200,Major,1,120,620,62,0
10,8,R10_I08,2,18,M001_S006200,Major,1,620,1120,62,0
10,8,R10_I08,3,21,M002_S011200,Major,2,1120,1620,62,0
10,8,R10_I08,4,20,M005_S006200,Major,5,620,1120,62,0
10,8,R10_I08,5,17,M008_S005000,Major,8,500,1000,63,0
10,8,R10_I08,6,2,M009_S000000,Major,9,0,500,62,0
10,8,R10_I08,7,14,M009_S005000,Major,9,500,1000,62,0
10,8,R10_I08,8,7,F073_S005000,Minor,73,500,1000,62,0
10,8,R10_I08,9,8,F301_S000000,Minor,301,0,500,62,0
10,8,R10_I08,10,5,F301_S010000,Minor,301,1000,1500,64,0
10,9,R10_I09,1,21,M002_S011200,Major,2,1120,1620,62,0
10,9,R10_I09,2,24,M007_S007800,Major,7,780,1280,62,0
10,9,R10_I09,3,2,M009_S000000,Major,9,0,500,62,0
10,9,R10_I09,4,3,M009_S010000,Major,9,1000,1500,62,0
10,9,R10_I09,5,7,F073_S005000,Minor,73,500,1000,62,0
10,9,R10_I09,6,12,F132_S000000,Minor,132,0,500,62,0
10,9,R10_I09,7,15,F195_S001400,Minor,195,140,640,62,0
10,9,R10_I09,8,10,F300_S005000,Minor,300,500,1000,65,0
10,9,R10_I09,9,8,F301_S000000,Minor,301,0,500,62,0
10,9,R10_I09,10,19,F301_S005000,Minor,301,500,1000,64,0
10,10,R10_I10,1,16,M005_S011200,Major,5,1120,1620,62,0
10,10,R10_I10,2,2,M009_S000000,Major,9,0,500,62,0
10,10,R10_I10,3,14,M009_S005000,Major,9,500,1000,62,0
10,10,R10_I10,4,7,F073_S005000,Minor,73,500,1000,62,0
10,10,R10_I10,5,12,F132_S000000,Minor,132,0,500,62,0
10,10,R10_I10,6,22,F177_S000000,Minor,177,0,500,62,0
10,10,R10_I10,7,15,F195_S001400,Minor,195,140,640,62,0
10,10,R10_I10,8,10,F300_S005000,Minor,300,500,1000,65,0
10,10,R10_I10,9,8,F301_S000000,Minor,301,0,500,62,0
10,10,R10_I10,10,5,F301_S010000,Minor,301,1000,1500,64,0
20,1,R20_I01,1,4,M001_S001200,Major,1,120,620,62,0
20,1,R20_I01,2,18,M001_S006200,Major,1,620,1120,62,0
20,1,R20_I01,3,13,M002_S000000,Major,2,0,500,63,0
20,1,R20_I01,4,21,M002_S011200,Major,2,1120,1620,62,0
20,1,R20_I01,5,16,M005_S011200,Major,5,1120,1620,62,0
20,1,R20_I01,6,24,M007_S007800,Major,7,780,1280,62,0
20,1,R20_I01,7,2,M009_S000000,Major,9,0,500,62,0
20,1,R20_I01,8,3,M009_S010000,Major,9,1000,1500,62,0
20,1,R20_I01,9,23,F002_S000000,Minor,2,0,500,62,0
20,1,R20_I01,10,25,F003_S000000,Minor,3,0,500,62,0
20,1,R20_I01,11,11,F005_S005000,Minor,5,500,1000,63,0
20,1,R20_I01,12,9,F010_S000000,Minor,10,0,500,63,0
20,1,R20_I01,13,7,F073_S005000,Minor,73,500,1000,62,0
20,1,R20_I01,14,12,F132_S000000,Minor,132,0,500,62,0
20,1,R20_I01,15,22,F177_S000000,Minor,177,0,500,62,0
20,1,R20_I01,16,15,F195_S001400,Minor,195,140,640,62,0
20,1,R20_I01,17,10,F300_S005000,Minor,300,500,1000,65,0
20,1,R20_I01,18,8,F301_S000000,Minor,301,0,500,62,0
20,1,R20_I01,19,19,F301_S005000,Minor,301,500,1000,64,0
20,1,R20_I01,20,5,F301_S010000,Minor,301,1000,1500,64,0
20,2,R20_I02,1,4,M001_S001200,Major,1,120,620,62,0
20,2,R20_I02,2,18,M001_S006200,Major,1,620,1120,62,0
20,2,R20_I02,3,13,M002_S000000,Major,2,0,500,63,0
20,2,R20_I02,4,21,M002_S011200,Major,2,1120,1620,62,0
20,2,R20_I02,5,20,M005_S006200,Major,5,620,1120,62,0
20,2,R20_I02,6,16,M005_S011200,Major,5,1120,1620,62,0
20,2,R20_I02,7,24,M007_S007800,Major,7,780,1280,62,0
20,2,R20_I02,8,17,M008_S005000,Major,8,500,1000,63,0
20,2,R20_I02,9,2,M009_S000000,Major,9,0,500,62,0
20,2,R20_I02,10,14,M009_S005000,Major,9,500,1000,62,0
20,2,R20_I02,11,23,F002_S000000,Minor,2,0,500,62,0
20,2,R20_I02,12,25,F003_S000000,Minor,3,0,500,62,0
20,2,R20_I02,13,11,F005_S005000,Minor,5,500,1000,63,0
20,2,R20_I02,14,6,F021_S005000,Minor,21,500,1000,62,0
20,2,R20_I02,15,12,F132_S000000,Minor,132,0,500,62,0
20,2,R20_I02,16,22,F177_S000000,Minor,177,0,500,62,0
20,2,R20_I02,17,15,F195_S001400,Minor,195,140,640,62,0
20,2,R20_I02,18,10,F300_S005000,Minor,300,500,1000,65,0
20,2,R20_I02,19,8,F301_S000000,Minor,301,0,500,62,0
20,2,R20_I02,20,19,F301_S005000,Minor,301,500,1000,64,0
20,3,R20_I03,1,4,M001_S001200,Major,1,120,620,62,0
20,3,R20_I03,2,18,M001_S006200,Major,1,620,1120,62,0
20,3,R20_I03,3,21,M002_S011200,Major,2,1120,1620,62,0
20,3,R20_I03,4,20,M005_S006200,Major,5,620,1120,62,0
20,3,R20_I03,5,16,M005_S011200,Major,5,1120,1620,62,0
20,3,R20_I03,6,17,M008_S005000,Major,8,500,1000,63,0
20,3,R20_I03,7,14,M009_S005000,Major,9,500,1000,62,0
20,3,R20_I03,8,3,M009_S010000,Major,9,1000,1500,62,0
20,3,R20_I03,9,23,F002_S000000,Minor,2,0,500,62,0
20,3,R20_I03,10,25,F003_S000000,Minor,3,0,500,62,0
20,3,R20_I03,11,11,F005_S005000,Minor,5,500,1000,63,0
20,3,R20_I03,12,9,F010_S000000,Minor,10,0,500,63,0
20,3,R20_I03,13,6,F021_S005000,Minor,21,500,1000,62,0
20,3,R20_I03,14,7,F073_S005000,Minor,73,500,1000,62,0
20,3,R20_I03,15,12,F132_S000000,Minor,132,0,500,62,0
20,3,R20_I03,16,22,F177_S000000,Minor,177,0,500,62,0
20,3,R20_I03,17,15,F195_S001400,Minor,195,140,640,62,0
20,3,R20_I03,18,10,F300_S005000,Minor,300,500,1000,65,0
20,3,R20_I03,19,8,F301_S000000,Minor,301,0,500,62,0
20,3,R20_I03,20,19,F301_S005000,Minor,301,500,1000,64,0
20,4,R20_I04,1,4,M001_S001200,Major,1,120,620,62,0
20,4,R20_I04,2,18,M001_S006200,Major,1,620,1120,62,0
20,4,R20_I04,3,13,M002_S000000,Major,2,0,500,63,0
20,4,R20_I04,4,21,M002_S011200,Major,2,1120,1620,62,0
20,4,R20_I04,5,16,M005_S011200,Major,5,1120,1620,62,0
20,4,R20_I04,6,24,M007_S007800,Major,7,780,1280,62,0
20,4,R20_I04,7,17,M008_S005000,Major,8,500,1000,63,0
20,4,R20_I04,8,2,M009_S000000,Major,9,0,500,62,0
20,4,R20_I04,9,14,M009_S005000,Major,9,500,1000,62,0
20,4,R20_I04,10,3,M009_S010000,Major,9,1000,1500,62,0
20,4,R20_I04,11,23,F002_S000000,Minor,2,0,500,62,0
20,4,R20_I04,12,25,F003_S000000,Minor,3,0,500,62,0
20,4,R20_I04,13,11,F005_S005000,Minor,5,500,1000,63,0
20,4,R20_I04,14,9,F010_S000000,Minor,10,0,500,63,0
20,4,R20_I04,15,6,F021_S005000,Minor,21,500,1000,62,0
20,4,R20_I04,16,7,F073_S005000,Minor,73,500,1000,62,0
20,4,R20_I04,17,12,F132_S000000,Minor,132,0,500,62,0
20,4,R20_I04,18,22,F177_S000000,Minor,177,0,500,62,0
20,4,R20_I04,19,8,F301_S000000,Minor,301,0,500,62,0
20,4,R20_I04,20,5,F301_S010000,Minor,301,1000,1500,64,0
20,5,R20_I05,1,4,M001_S001200,Major,1,120,620,62,0
20,5,R20_I05,2,18,M001_S006200,Major,1,620,1120,62,0
20,5,R20_I05,3,13,M002_S000000,Major,2,0,500,63,0
20,5,R20_I05,4,21,M002_S011200,Major,2,1120,1620,62,0
20,5,R20_I05,5,20,M005_S006200,Major,5,620,1120,62,0
20,5,R20_I05,6,16,M005_S011200,Major,5,1120,1620,62,0
20,5,R20_I05,7,17,M008_S005000,Major,8,500,1000,63,0
20,5,R20_I05,8,2,M009_S000000,Major,9,0,500,62,0
20,5,R20_I05,9,14,M009_S005000,Major,9,500,1000,62,0
20,5,R20_I05,10,3,M009_S010000,Major,9,1000,1500,62,0
20,5,R20_I05,11,23,F002_S000000,Minor,2,0,500,62,0
20,5,R20_I05,12,25,F003_S000000,Minor,3,0,500,62,0
20,5,R20_I05,13,11,F005_S005000,Minor,5,500,1000,63,0
20,5,R20_I05,14,7,F073_S005000,Minor,73,500,1000,62,0
20,5,R20_I05,15,22,F177_S000000,Minor,177,0,500,62,0
20,5,R20_I05,16,15,F195_S001400,Minor,195,140,640,62,0
20,5,R20_I05,17,10,F300_S005000,Minor,300,500,1000,65,0
20,5,R20_I05,18,8,F301_S000000,Minor,301,0,500,62,0
20,5,R20_I05,19,19,F301_S005000,Minor,301,500,1000,64,0
20,5,R20_I05,20,5,F301_S010000,Minor,301,1000,1500,64,0
20,6,R20_I06,1,18,M001_S006200,Major,1,620,1120,62,0
20,6,R20_I06,2,13,M002_S000000,Major,2,0,500,63,0
20,6,R20_I06,3,21,M002_S011200,Major,2,1120,1620,62,0
20,6,R20_I06,4,20,M005_S006200,Major,5,620,1120,62,0
20,6,R20_I06,5,16,M005_S011200,Major,5,1120,1620,62,0
20,6,R20_I06,6,24,M007_S007800,Major,7,780,1280,62,0
20,6,R20_I06,7,17,M008_S005000,Major,8,500,1000,63,0
20,6,R20_I06,8,14,M009_S005000,Major,9,500,1000,62,0
20,6,R20_I06,9,3,M009_S010000,Major,9,1000,1500,62,0
20,6,R20_I06,10,23,F002_S000000,Minor,2,0,500,62,0
20,6,R20_I06,11,25,F003_S000000,Minor,3,0,500,62,0
20,6,R20_I06,12,9,F010_S000000,Minor,10,0,500,63,0
20,6,R20_I06,13,6,F021_S005000,Minor,21,500,1000,62,0
20,6,R20_I06,14,7,F073_S005000,Minor,73,500,1000,62,0
20,6,R20_I06,15,12,F132_S000000,Minor,132,0,500,62,0
20,6,R20_I06,16,22,F177_S000000,Minor,177,0,500,62,0
20,6,R20_I06,17,15,F195_S001400,Minor,195,140,640,62,0
20,6,R20_I06,18,8,F301_S000000,Minor,301,0,500,62,0
20,6,R20_I06,19,19,F301_S005000,Minor,301,500,1000,64,0
20,6,R20_I06,20,5,F301_S010000,Minor,301,1000,1500,64,0
20,7,R20_I07,1,4,M001_S001200,Major,1,120,620,62,0
20,7,R20_I07,2,18,M001_S006200,Major,1,620,1120,62,0
20,7,R20_I07,3,13,M002_S000000,Major,2,0,500,63,0
20,7,R20_I07,4,21,M002_S011200,Major,2,1120,1620,62,0
20,7,R20_I07,5,20,M005_S006200,Major,5,620,1120,62,0
20,7,R20_I07,6,16,M005_S011200,Major,5,1120,1620,62,0
20,7,R20_I07,7,24,M007_S007800,Major,7,780,1280,62,0
20,7,R20_I07,8,17,M008_S005000,Major,8,500,1000,63,0
20,7,R20_I07,9,14,M009_S005000,Major,9,500,1000,62,0
20,7,R20_I07,10,3,M009_S010000,Major,9,1000,1500,62,0
20,7,R20_I07,11,23,F002_S000000,Minor,2,0,500,62,0
20,7,R20_I07,12,25,F003_S000000,Minor,3,0,500,62,0
20,7,R20_I07,13,11,F005_S005000,Minor,5,500,1000,63,0
20,7,R20_I07,14,6,F021_S005000,Minor,21,500,1000,62,0
20,7,R20_I07,15,12,F132_S000000,Minor,132,0,500,62,0
20,7,R20_I07,16,22,F177_S000000,Minor,177,0,500,62,0
20,7,R20_I07,17,10,F300_S005000,Minor,300,500,1000,65,0
20,7,R20_I07,18,8,F301_S000000,Minor,301,0,500,62,0
20,7,R20_I07,19,19,F301_S005000,Minor,301,500,1000,64,0
20,7,R20_I07,20,5,F301_S010000,Minor,301,1000,1500,64,0
20,8,R20_I08,1,4,M001_S001200,Major,1,120,620,62,0
20,8,R20_I08,2,18,M001_S006200,Major,1,620,1120,62,0
20,8,R20_I08,3,21,M002_S011200,Major,2,1120,1620,62,0
20,8,R20_I08,4,16,M005_S011200,Major,5,1120,1620,62,0
20,8,R20_I08,5,24,M007_S007800,Major,7,780,1280,62,0
20,8,R20_I08,6,17,M008_S005000,Major,8,500,1000,63,0
20,8,R20_I08,7,2,M009_S000000,Major,9,0,500,62,0
20,8,R20_I08,8,3,M009_S010000,Major,9,1000,1500,62,0
20,8,R20_I08,9,23,F002_S000000,Minor,2,0,500,62,0
20,8,R20_I08,10,25,F003_S000000,Minor,3,0,500,62,0
20,8,R20_I08,11,11,F005_S005000,Minor,5,500,1000,63,0
20,8,R20_I08,12,9,F010_S000000,Minor,10,0,500,63,0
20,8,R20_I08,13,6,F021_S005000,Minor,21,500,1000,62,0
20,8,R20_I08,14,7,F073_S005000,Minor,73,500,1000,62,0
20,8,R20_I08,15,22,F177_S000000,Minor,177,0,500,62,0
20,8,R20_I08,16,15,F195_S001400,Minor,195,140,640,62,0
20,8,R20_I08,17,10,F300_S005000,Minor,300,500,1000,65,0
20,8,R20_I08,18,8,F301_S000000,Minor,301,0,500,62,0
20,8,R20_I08,19,19,F301_S005000,Minor,301,500,1000,64,0
20,8,R20_I08,20,5,F301_S010000,Minor,301,1000,1500,64,0
20,9,R20_I09,1,18,M001_S006200,Major,1,620,1120,62,0
20,9,R20_I09,2,13,M002_S000000,Major,2,0,500,63,0
20,9,R20_I09,3,21,M002_S011200,Major,2,1120,1620,62,0
20,9,R20_I09,4,20,M005_S006200,Major,5,620,1120,62,0
20,9,R20_I09,5,24,M007_S007800,Major,7,780,1280,62,0
20,9,R20_I09,6,2,M009_S000000,Major,9,0,500,62,0
20,9,R20_I09,7,14,M009_S005000,Major,9,500,1000,62,0
20,9,R20_I09,8,3,M009_S010000,Major,9,1000,1500,62,0
20,9,R20_I09,9,23,F002_S000000,Minor,2,0,500,62,0
20,9,R20_I09,10,25,F003_S000000,Minor,3,0,500,62,0
20,9,R20_I09,11,11,F005_S005000,Minor,5,500,1000,63,0
20,9,R20_I09,12,9,F010_S000000,Minor,10,0,500,63,0
20,9,R20_I09,13,6,F021_S005000,Minor,21,500,1000,62,0
20,9,R20_I09,14,7,F073_S005000,Minor,73,500,1000,62,0
20,9,R20_I09,15,12,F132_S000000,Minor,132,0,500,62,0
20,9,R20_I09,16,22,F177_S000000,Minor,177,0,500,62,0
20,9,R20_I09,17,15,F195_S001400,Minor,195,140,640,62,0
20,9,R20_I09,18,10,F300_S005000,Minor,300,500,1000,65,0
20,9,R20_I09,19,8,F301_S000000,Minor,301,0,500,62,0
20,9,R20_I09,20,19,F301_S005000,Minor,301,500,1000,64,0
20,10,R20_I10,1,4,M001_S001200,Major,1,120,620,62,0
20,10,R20_I10,2,18,M001_S006200,Major,1,620,1120,62,0
20,10,R20_I10,3,13,M002_S000000,Major,2,0,500,63,0
20,10,R20_I10,4,21,M002_S011200,Major,2,1120,1620,62,0
20,10,R20_I10,5,20,M005_S006200,Major,5,620,1120,62,0
20,10,R20_I10,6,24,M007_S007800,Major,7,780,1280,62,0
20,10,R20_I10,7,17,M008_S005000,Major,8,500,1000,63,0
20,10,R20_I10,8,2,M009_S000000,Major,9,0,500,62,0
20,10,R20_I10,9,14,M009_S005000,Major,9,500,1000,62,0
20,10,R20_I10,10,3,M009_S010000,Major,9,1000,1500,62,0
20,10,R20_I10,11,23,F002_S000000,Minor,2,0,500,62,0
20,10,R20_I10,12,25,F003_S000000,Minor,3,0,500,62,0
20,10,R20_I10,13,9,F010_S000000,Minor,10,0,500,63,0
20,10,R20_I10,14,6,F021_S005000,Minor,21,500,1000,62,0
20,10,R20_I10,15,7,F073_S005000,Minor,73,500,1000,62,0
20,10,R20_I10,16,22,F177_S000000,Minor,177,0,500,62,0
20,10,R20_I10,17,15,F195_S001400,Minor,195,140,640,62,0
20,10,R20_I10,18,8,F301_S000000,Minor,301,0,500,62,0
20,10,R20_I10,19,19,F301_S005000,Minor,301,500,1000,64,0
20,10,R20_I10,20,5,F301_S010000,Minor,301,1000,1500,64,0
